slide,query,outliers_count
500,"(10000,500,1.9,50)",8
1000,"(10000,500,1.9,50)",21
1500,"(10000,500,1.9,50)",25
2000,"(10000,500,1.9,50)",46
2500,"(10000,500,1.9,50)",66
3000,"(10000,500,1.9,50)",67
3500,"(10000,500,1.9,50)",75
4000,"(10000,500,1.9,50)",83
4500,"(10000,500,1.9,50)",85
5000,"(10000,500,1.9,50)",88
5500,"(10000,500,1.9,50)",94
6000,"(10000,500,1.9,50)",111
6500,"(10000,500,1.9,50)",161
7000,"(10000,500,1.9,50)",162
7500,"(10000,500,1.9,50)",166
8000,"(10000,500,1.9,50)",167
8500,"(10000,500,1.9,50)",167
9000,"(10000,500,1.9,50)",167
9500,"(10000,500,1.9,50)",169
10000,"(10000,500,1.9,50)",169
10500,"(10000,500,1.9,50)",161
11000,"(10000,500,1.9,50)",162
11500,"(10000,500,1.9,50)",158
12000,"(10000,500,1.9,50)",163
12500,"(10000,500,1.9,50)",162
13000,"(10000,500,1.9,50)",180
13500,"(10000,500,1.9,50)",154
14000,"(10000,500,1.9,50)",141
14500,"(10000,500,1.9,50)",146
15000,"(10000,500,1.9,50)",149
15500,"(10000,500,1.9,50)",151
16000,"(10000,500,1.9,50)",172
16500,"(10000,500,1.9,50)",91
17000,"(10000,500,1.9,50)",116
17500,"(10000,500,1.9,50)",113
18000,"(10000,500,1.9,50)",111
18500,"(10000,500,1.9,50)",116
19000,"(10000,500,1.9,50)",119
19500,"(10000,500,1.9,50)",115
20000,"(10000,500,1.9,50)",151
20500,"(10000,500,1.9,50)",147
21000,"(10000,500,1.9,50)",136
21500,"(10000,500,1.9,50)",156
22000,"(10000,500,1.9,50)",124
22500,"(10000,500,1.9,50)",126
23000,"(10000,500,1.9,50)",116
23500,"(10000,500,1.9,50)",116
24000,"(10000,500,1.9,50)",115
24500,"(10000,500,1.9,50)",111
25000,"(10000,500,1.9,50)",106
25500,"(10000,500,1.9,50)",99
26000,"(10000,500,1.9,50)",98
26500,"(10000,500,1.9,50)",96
27000,"(10000,500,1.9,50)",82
27500,"(10000,500,1.9,50)",71
28000,"(10000,500,1.9,50)",72
28500,"(10000,500,1.9,50)",69
29000,"(10000,500,1.9,50)",66
29500,"(10000,500,1.9,50)",66
30000,"(10000,500,1.9,50)",37
30500,"(10000,500,1.9,50)",61
31000,"(10000,500,1.9,50)",61
31500,"(10000,500,1.9,50)",61
32000,"(10000,500,1.9,50)",60
32500,"(10000,500,1.9,50)",66
33000,"(10000,500,1.9,50)",49
33500,"(10000,500,1.9,50)",47
34000,"(10000,500,1.9,50)",47
34500,"(10000,500,1.9,50)",47
35000,"(10000,500,1.9,50)",45
35500,"(10000,500,1.9,50)",45
36000,"(10000,500,1.9,50)",45
36500,"(10000,500,1.9,50)",45
37000,"(10000,500,1.9,50)",45
37500,"(10000,500,1.9,50)",45
